Instances,Source,feature_efferent_coupling,feature_cyclomatic_complexity,feature_ck_loc,feature_ck_tryCatchQty,feature_ck_maxNestedBlocksQty,feature_avg_radius,feature_avg_avg_shortest_path_length,feature_std_wmc,feature_per_methods_cc_ge_10,algo_MOSA_BranchCoverage,algo_DYNAMOSA_BranchCoverage,algo_MONOTONIC_GA_BranchCoverage,algo_RANDOM_SEARCH_BranchCoverage,algo_MIO_BranchCoverage,algo_WSA_BranchCoverage
Collections_org.apache.commons.collections4.map.PassiveExpiringMap,Collections,3,1.28571428571429,150,0,2,1.37037037037037,0.596149323927102,0.515866232488301,0,0.956521739130435,0.952173913043478,0.7,0.721739130434783,0.956521739130435,0.956521739130435
dsachat_dsachat.client.gui.MainFrame,SF110-cc5,18,5.5,308,7,5,2.625,2.82407186185427,10.8512672071054,12.5,0.012048192771084,0.012048192771084,0,0,0.012048192771084,0.012048192771084
Collections_org.apache.commons.collections4.functors.IfTransformer,Collections,3,1.85714285714286,45,0,1,1.71428571428571,0.560465724751439,1.12485826771597,0,1,1,1,1,1,1
Collections_org.apache.commons.collections4.keyvalue.UnmodifiableMapEntry,Collections,3,1,14,0,0,1,0.5,0,0,1,1,0.95,1,1,1
Collections_org.apache.commons.collections4.functors.NotNullPredicate,Collections,1,1.2,16,0,0,1.25,0.566666666666667,0.433012701892219,0,0.25,0.25,0.05,0,0.25,0.25
Collections_org.apache.commons.collections4.multimap.HashSetValuedHashMap,Collections,2,1,36,0,0,1,0.5,0,0,0.775,0.75,0.325,0.7,0.775,0.75
corina_corina.prefs.components.FontPopup,SF110-cc5,4,7,48,0,2,4,2.16339869281046,0,0,0.176470588235294,0.176470588235294,0.023529411764706,0.035294117647059,0.176470588235294,0.176470588235294
lilith_de.huxhorn.lilith.swing.table.renderer.RequestUriRenderer,SF110-cc5,5,6.5,47,0,3,2.5,1.1297619047619,5,50,0.807453416149068,0.826086956521739,0.330434782608696,0.602484472049689,0.826086956521739,0.826086956521739
openjms_org.exolab.jms.common.uuid.UUIDGenerator,SF110-cc3,2,3.4,360,2,5,3.14285714285714,9.35848064231325,6.16110247224224,14.2857142857143,0.286842105263158,0.376315789473684,0,0.043421052631579,0.327631578947368,0.281578947368421
jiggler_jigl.image.warp.Mapper,SF110-cc3,13,3,127,4,3,3.33333333333333,4.92482171147355,1.24721912892465,0,1,1,1,1,1,1
freemind_plugins.script.SignedScriptHandler,SF110-cc3,7,3.2,140,5,4,2.5,5.2161187501901,2.06155281280883,0,0.581818181818182,0.560606060606061,0.083333333333333,0.151515151515152,0.575757575757576,0.581818181818182
tullibee_com.ib.client.ExecutionFilter,SF110-cc4,0,4,35,0,1,1.66666666666667,0.769607843137255,0.942809041582063,0,0.99375,1,1,0.75,1,1
shop_umd.cs.shop.JSJshop,SF110-cc3,14,3.5,325,6,5,1.78947368421053,5.29278036901683,5.36945294520288,5.26315789473684,0.3,0.508771929824561,0.014035087719298,0.019298245614035,0.342105263157895,0.692982456140351
Collections_org.apache.commons.collections4.map.FixedSizeMap,Collections,4,1.15384615384615,55,0,2,1.30769230769231,0.603496503496504,0.575639597965222,0,0.894736842105263,0.894736842105263,0.652631578947368,0.473684210526316,0.894736842105263,0.894736842105263
tullibee_com.ib.client.UnderComp,SF110-cc4,0,4,29,0,1,1.5,0.736263736263736,3,0,1,1,1,0.830769230769231,0.976923076923077,1
Collections_org.apache.commons.collections4.map.PredicatedMap,Collections,2,1.8,53,0,1,1.77777777777778,0.697089947089947,1.19670329047433,0,0.89,0.9,0.67,0.73,0.9,0.925
freemind_freemind.view.mindmapview.ArrowLinkView,SF110-cc3,3,3.38888888888889,164,0,3,1.94117647058824,0.772865813431851,7.32394281847589,5.88235294117647,0.266666666666667,0.264285714285714,0.007619047619048,0.044444444444445,0.266666666666667,0.266666666666667
vuze_com.aelitis.azureus.ui.common.table.impl.TableRowCoreSorter,SF110-cc4,1,4.33333333333333,24,0,2,2.5,1.14177489177489,0,100,0.951659451659452,0.766289923526766,0.928571428571429,0.497835497835498,0.826792255363684,0.952380952380952
vuze_com.aelitis.azureus.ui.swt.skin.SWTSkinUtils,SF110-cc5,17,6.6,285,1,6,2.44444444444444,1.73163697860959,6.30891980736817,22.2222222222222,0.249149659863946,0.26681783824641,0.072278911564626,0.00485908649174,0.236525379382522,0.223639455782313
gangup_module.BasicMessageRules,SF110-cc4,4,4.5,16,0,2,2,0.728571428571429,3.5,0,0.9,0.911111111111111,0.414814814814815,0.266666666666667,0.82,0.977777777777778
firebird_org.firebirdsql.gds.impl.wire.JavaGDSImpl,SF110-cc3,1,3,43,1,4,2.25,3.97337807606264,4.78423336480244,33.3333333333333,0.753846153846154,0.761538461538462,0.365384615384615,0.315384615384615,0.596153846153846,0.788461538461538
vuze_org.gudy.azureus2.ui.swt.views.tableitems.mytracker.DownloadedItem,SF110-cc3,5,3,18,0,2,1.5,0.722222222222222,2,0,0.666666666666667,0.666666666666667,0,0.555555555555556,0.666666666666667,0.611111111111111
